date,in_value,out_value
2024-02-21,180547.14807386269,20064.935552367548
2024-02-22,101269.79247891145,53904.103149945084
2023-04-03,161608.80102842758,37563.18561065988
2023-04-11,89277.31281199161,35778.103444624365
2023-05-01,965549.5328546742,16482.866739588208
2023-05-25,70848.34827349512,7993.646767958419
2023-06-20,115399.1931034681,24531.264915250784
2023-09-13,65442.240026511136,28467.32329858366
2023-10-18,9899.112591955642,5980.499440355124
2023-10-27,30259.423029584323,8499.13427087813
2023-11-01,158777.48122652803,51239.20977051289
2023-11-23,404776.4466356706,215052.64337892592
2023-12-28,66926.73165816219,31836.99672325766
2024-01-09,159528.8296650955,49182.46014185221
2024-01-10,229763.03282823027,128097.34218344338
2024-01-24,117358.85663320811,21924.112047510163
2024-01-26,100520.92158798978,30608.45898567528
2024-02-07,258335.37223204641,220622.535461692
2024-02-14,245286.3887751302,222101.40141794964
2024-02-27,194664.23437940958,120433.77046020128
2024-02-29,72660.08041005119,48909.85233283299
2023-02-19,60975.46433236124,4116.1357443875095
2023-02-21,32384.36150240802,12199.86982390042
2023-03-01,538088.8076028565,15656.191624830857
2023-03-02,132722.14965844605,8932.957324629397
2023-03-03,38017.18313176989,11347.015552492698
2023-03-04,32128.960380127573,2580.340695315096
2023-03-07,22578.99307175199,8498.068218690583
2023-03-08,28353.821126107774,10573.537205882363
2023-03-09,78697.27961576071,18109.28963635459
2023-03-10,137416.23407282116,41973.643397227046
2023-03-12,523022.3423367105,26002.802732953904
2023-03-13,252962.65677912807,77314.68219392229
2023-12-20,217321.52864136823,40899.31507527045
2023-10-19,14597.509416014069,8763.261199092538
2023-11-05,42469.02237474044,11155.03265767697
2023-11-08,104874.69441343882,59537.90634054522
2023-11-12,65148.15527527497,27055.207372786277
2023-11-19,199648.53034064415,67397.30063714317
2023-11-26,17522.19042483123,7372.871145417629
2023-12-09,63028.554295430935,39994.309842883136
2023-12-25,70092.78402921314,820.7717308475637
2023-12-30,61329.55808617001,16036.65576479883
2024-01-06,27662.747311252184,5762.74924244104
2024-01-07,25725.56896873004,10373.07970830737
2024-01-17,40625.19207318543,21764.996776066262
2024-01-19,92869.05603977293,15883.432462431983
2024-01-23,431845.92955903657,114964.05422674435
2024-01-29,70813.48459028432,17014.48122323468
2023-11-18,103284.62671528864,30830.450218685517
2023-11-22,59568.74869813019,14912.568930876556
2023-11-27,37965.960868155205,12735.043929107653
2023-11-29,101003.82542457164,16871.912546206484
2023-11-30,268298.9674862833,12842.454499414653
2023-12-10,90102.86675008133,4872.655009477175
2023-12-12,37627.73182493646,6375.854859738004
2023-12-17,317069.6648521459,141160.54635246997
2023-12-18,996948.9929161941,316108.6783135397
2023-12-23,103547.4582147388,45021.783972527686
2023-12-24,16719.311854170748,8909.657980925036
2023-12-27,56288.9911653786,12749.590020894493
2024-01-01,47353.203682160485,10264.548742785817
2024-01-04,56043.13098275244,5101.016453059319
2024-01-13,64398.4685258936,34785.4370004646
2024-01-18,129964.68036866908,114296.63528238647
2024-01-21,87719.02818507978,4577.692707542149
2024-02-02,107038.89890585376,95189.11752278495
2024-02-03,2613.176510155292,1524.155750544879
2024-02-06,222864.36633391492,21493.034688282038
2024-02-18,26602.5227997696,3571.5974998005777
2024-02-23,128015.06024865377,28760.075813640633
2024-02-24,37218.82080138092,10194.815704510373
2024-02-26,97986.4491036336,52571.60966621572
2023-04-20,108758.47853331099,23766.680236833046
2023-03-27,70514.02873115754,19625.860499916053
2023-09-23,162205.6374720896,524.3653919583722
2023-01-28,64128.4671019142,10535.950699780744
2023-01-30,116667.27419765045,33040.80184271485
2023-02-03,143724.3062004921,58730.186314517196
2023-02-05,48813.209328489924,11500.543755178722
2023-02-06,78710.15560769994,46340.98900606591
2023-02-08,116018.50804675292,50470.29538218792
2023-02-11,57343.58573369471,22481.779833151344
2023-02-12,53694.90926051342,9652.18898626058
2023-02-14,89573.83047782393,20066.29923418659
2023-02-16,190654.3404752743,92929.67219132007
2023-02-22,412899.6390945479,6756.225468333594
2023-02-23,112256.64913366099,10015.014575426627
2023-02-25,12080.237266032647,1174.8736317753442
2023-02-26,147116.95817252935,87385.29833439461
2023-03-14,113421.82761149119,44578.138501929556
2023-03-19,45690.60894644724,9518.630557082106
2023-03-23,125677.1522558895,52800.03260455777
2023-03-28,46960.00861116915,7666.391477898764
2023-03-29,123230.06444884595,74267.57311857496
2023-04-10,66341.81977320576,24312.56307432707
2023-04-26,210988.3515697835,96540.62190387162
2023-04-29,45763.52530162918,5826.820582991963
2023-05-06,238282.3360497094,213016.28781616167
2023-05-12,101191.12636390034,9920.945917805053
2023-05-27,5144.899838643292,927.3194698204699
2023-05-28,98901.55001134006,83678.56933223107
2023-05-29,115854.08401530626,91915.72694147032
2023-06-11,123269.5785141734,90610.89859626559
2023-06-12,120364.03316160702,14968.62234377674
2023-06-14,322170.23289433995,95867.14044158711
2023-02-02,271568.9120122617,32464.77689926641
2023-06-08,862143.5055181396,300113.433566443
2023-01-01,219516.63994473615,38916.72213420579
2023-01-02,187373.52184947103,58534.83197448414
2023-01-29,48645.12109464915,13307.459154327285
2023-01-31,189580.38811763303,58115.44799655923
2023-02-01,63657.77939587198,28093.03156707315
2023-02-04,57599.020985529976,7755.5570878784765
2023-02-07,117937.47825533658,44990.541340718555
2023-02-13,130922.93657750441,95101.15737303533
2023-02-15,110422.76500053913,58416.662185751644
2023-02-17,87311.45779940003,60236.245350429526
2023-02-18,108527.44843986539,4799.149761466761
2023-02-27,55306.92330826448,24004.114153174072
2023-03-18,83353.95402255391,60451.53339213922
2023-03-20,92430.8503175772,29980.840191884465
2023-03-30,55936.90918745258,9647.522019233213
2023-03-31,113833.65176967026,47538.90015771755
2023-04-01,12580.641727184677,10710.37179027974
2023-04-02,14798.195641491582,7945.366891865309
2023-04-04,161628.0271880097,24126.707380301803
2023-04-08,28610.386720115464,3018.460774208699
2023-04-09,5112.2924458794605,825.5866663489937
2023-04-16,7138.323496305461,1214.0348514143038
2023-04-19,335103.35353735555,75007.36431595703
2023-04-22,38904.7126664183,2932.3238404737886
2023-04-24,131587.7383996304,25956.53675432069
2023-04-25,85515.75406419823,46098.125570843855
